Price,Age,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Brand,Model
6335190,4,13000,petrol,manual,1,5,Maruti,Suzuki Alto 800 VXI
5647650,7,51000,petrol,manual,1,5,Renault,Kwid RXL
7022730,6,42000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT
9380010,5,22000,petrol,automatic,1,5,Maruti,Suzuki Celerio ZXI AMT
8152260,10,64000,petrol,automatic,1,5,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT
5713130,5,14000,petrol,manual,1,5,Maruti,Suzuki Alto 800 LXI
7055470,11,73000,petrol,manual,1,5,Maruti,Suzuki Swift Dzire VXI
7284650,6,26000,petrol,manual,1,6,Mahindra,KUV100 NXT K2 6 STR
2651940,10,31000,petrol,manual,3,4,Tata,Nano Twist XT Petrol
6138750,5,53000,petrol,manual,3,6,Mahindra,KUV100 NXT K2 6 STR
8397810,9,73000,diesel,automatic,1,5,Tata,Zest XTA Diesel
5647650,13,53000,petrol,manual,1,5,Toyota,Etios Liva G
5107440,8,26000,petrol,manual,1,5,Renault,Kwid RXL
7530200,10,71000,petrol,automatic,2,5,Honda,Amaze 1.2 VX AT i-VTEC
7824860,9,70000,petrol,automatic,3,5,Maruti,Suzuki Baleno Delta AT Petrol
6793550,9,48000,petrol,automatic,2,5,Maruti,Suzuki Celerio ZXI AMT
5336620,8,62000,petrol,manual,1,5,Renault,Kwid RXT
5385730,9,63000,petrol,manual,1,5,Maruti,Suzuki Alto K10 VXI
7071840,8,38000,petrol,automatic,1,5,Maruti,Suzuki Celerio VXI AMT
4878260,11,31000,petrol,manual,1,5,Hyundai,Eon Magna +
5222030,8,67000,petrol,manual,1,5,Renault,Kwid RXL
4550860,10,42000,petrol,manual,1,5,Hyundai,Eon D-Lite+
9789260,8,70000,petrol,manual,1,5,Hyundai,Elite i20 Sportz 1.2
7939450,7,32000,petrol,manual,2,5,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT
6204230,4,22000,petrol,manual,1,5,Maruti,Suzuki Alto 800 VXI
5254770,6,33000,petrol,manual,1,5,Datsun,Redi-GO S 1.0
6417040,6,10000,petrol,manual,1,5,Hyundai,Eon Magna +
2946600,10,63000,petrol,manual,1,4,Tata,Nano Twist XT Petrol
4288940,9,36000,petrol,manual,3,5,Maruti,Suzuki Alto 800 LXI
9772890,9,31000,petrol,manual,1,5,Hyundai,Elite i20 Asta 1.2
8496030,7,54000,petrol,manual,1,5,Maruti,Suzuki Swift VXI
9216310,9,71000,diesel,manual,2,5,Volkswagen,Polo Highline 1.5 (D)
5271140,10,41000,petrol,manual,2,5,Maruti,Suzuki Wagon R 1.0 VXI
7399240,8,65000,diesel,manual,1,5,Tata,Tiago Revotorq XT
5794980,11,71000,petrol,manual,2,5,Honda,Amaze 1.2L EX
5713130,8,39000,petrol,manual,1,5,Renault,Kwid RXT
5336620,8,67000,petrol,manual,1,5,Renault,Kwid RXT
9789260,8,28000,petrol,manual,1,5,Hyundai,Elite i20 Sportz 1.2
6793550,7,23000,petrol,manual,1,6,Mahindra,KUV100 K2 6 STR
7268280,5,40000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT SCE
6417040,7,50000,petrol,automatic,1,5,Renault,Kwid 1.0 RXT AMT
6989990,6,63000,petrol,manual,1,5,Hyundai,New Santro 1.1 Magna
6531630,7,40000,petrol,automatic,1,5,Maruti,Suzuki Alto K10 VXI AMT (O)
5533060,8,37000,petrol,manual,1,5,Renault,Kwid RXT
5729500,8,18000,petrol,manual,1,5,Hyundai,Eon Magna +
5385730,8,37000,petrol,manual,1,5,Renault,Kwid RXL
6466150,5,32000,petrol,manual,1,5,Volkswagen,Polo Highline 1.5 (D)
6744440,9,31000,petrol,manual,1,5,Hyundai,i10 magna 1.1
4043390,6,64000,petrol,manual,2,5,Datsun,Redi-GO T(O) 1.0
4894630,10,49000,petrol,manual,2,5,Maruti,Suzuki Wagon R 1.0 VXI
7513830,6,50000,petrol,automatic,3,5,Maruti,Suzuki Celerio ZXI AMT
2930230,10,46000,petrol,manual,2,4,Tata,Nano Twist XT Petrol
8807060,7,54000,diesel,manual,3,5,Nissan,Sunny XL Diesel
5320250,7,31000,petrol,manual,3,5,Renault,Kwid 1.0 RXT
4665450,11,67000,petrol,manual,2,5,Hyundai,i10 Era Petrol
7022730,4,16000,petrol,manual,1,5,Renault,Kwid RXT
9772890,5,19000,petrol,manual,1,5,Hyundai,Grand i10 Magna 1.2 Kappa VTVT
